CATEGORY	TOKENS	NUM_WORDS	NUM_CAPITALS	NUM_PUNCTUATIONS
b	S & P 500 Closes Above 1900 for First Time on Home Sales	13	8	1
e	Spotify Hits 10 Million Paid Users . Now Can It Make Money ?	13	10	2
e	Enough to stop traffic ! Busy Philipps turns heads in backless red dress as she ...	16	3	4
e	Lady-in-red Jenny McCarthy envisioned hosting The View for 20 years before ...	12	6	5
t	Big Things Stand in the Way of Apple 's Comcast Cable Box	12	8	1
b	Europe Factors to Watch-Shares set to rise ; eyes on euro zone data	13	4	2
t	The meteor shower set to light up the sky above America TONIGHT ...	13	9	3
e	RIP Archie Andrews : Even India Could Not Save You	10	11	1
e	Neil Patrick Harris and Jason Segel launch into Les Miserables duet as How I ...	15	9	3
t	NASA Tests Saucer-Shaped Craft for Mars Mission	7	10	1
m	UPDATE 2-West Africa Ebola outbreak spreads to Liberia 's capital , four dead	13	10	3
b	Teva , Pfizer settle patent lawsuit over painkiller Celebrex	9	3	1
t	T-Mobile Offers IPhone Trials , Music-Streaming Service	7	9	3
b	Fresh Records Get Stale With S & P 500 Volume at 6-Year Low	13	10	2
b	US senator urges Obama admin to fully lift crude oil export ban	12	3	0
b	BNP Paribas Said to Plan Guilty Plea Monday in US Probe	11	12	0
b	REFILE-WRAPUP 1-Incoming S. Korean minister cites weak economy ; Samsung ...	11	16	7
b	TIMELINE-The FX `` fixing '' scandal	6	11	3
b	UPDATE 6-France meets Alstom bidders with pledge to protect jobs	10	8	1
e	Jim Carrey reveals his late father inspired him to follow his dreams in moving ...	15	2	3
b	Wisconsin Energy to buy Integrys to expand in US Midwest	10	6	0
b	UPDATE 1-Fees fuel 13 percent profit rise at Morgan Stanley wealth unit	12	9	1
t	Facebook Said to Seek European Union Approval for WhatsApp Deal	10	9	0
b	Gupta 's Insider Conviction Tied to Rajaratnam Is Upheld ( 1 )	12	7	3
b	UPDATE 3-New York AG slaps Barclays with securities fraud suit	10	11	1
e	Appreciating a Mother 's Love	5	3	1
m	Is your Neutrogena face wash deadly ? From severe swelling to difficulty ...	13	3	4
b	Argentine Bonds Fall as Capitanich Rules Out Mission to New York	11	9	0
b	US Stocks Fall for Week on Global Growth Concern , Iraq	11	9	1
b	Adobe unveils Creative Cloud updates , apps	7	3	1
t	Google Stops Scanning Student E-Mail Messages for Advertising	8	8	1
m	AstraZeneca Cancer News Boosts Soriot 's $ 45 Billion Case	10	8	2
t	UPDATE 3-Oracle wins copyright ruling against Google over Android	9	9	1
t	AT & T Can 'Say Anything ' : AT & T IP Transition Trials and the Direct TV Merger ...	20	17	8
b	PRECIOUS-Platinum extends gains on South African strikes ; gold firm	10	11	2
b	Swiss regulator says CSuisse management did n't know of misconduct	10	3	1
b	Russia Risk Seen Prompting BNP Paribas Commodity Bond Prepayment	9	11	0
b	The Five Strangest Items for Sale at Home Depot	9	7	0
b	FOREX-China 's yuan resumes slide , yen gains broadly	9	6	3
b	UPDATE 3-Big US banks ' funding advantage reduced , could rise in crisis-official	13	9	4
b	UPDATE 1-China June exports grow less than expected , doubts over economy ...	13	8	5
b	American Apparel Creditor Lion Capital Denies Loan Waiver	8	8	0
m	UPDATE 2-Weight loss surgery helps many reverse type 2 diabetes - study	12	7	2
e	Hilary Duff shows off her toned tummy in a bikini as her son Luca dances to her ...	18	3	3
b	Amazon drawn into EU probe over whether Luxembourg tax deal breached state ...	13	4	3
t	World 's Largest-Ever Flying Bird Had Huge Wingspan , Fossil Shows	11	10	3
b	Hong Kong H-Shares Head for One-Month Low as China Exports Slide	11	11	2
b	UPDATE 2-US administration says Obamacare enrollment tops 5 million	9	9	1
e	' I 'm proud of that ' : Duck Dynasty 's Jase Robertson reveals he was a virgin on his ...	21	5	8
e	Zaki 's Review : Transformers : Age of Extinction	9	5	3
b	Channel Tunnel travellers experiencing a second day of misery following power ...	12	2	3
b	UPDATE 3-Taxis sow traffic chaos in Europe protesting against Uber car app	12	9	1
b	UPDATE 1-Symantec CEO ouster raises questions about turnaround	8	10	1
b	Has telecommuting blunted power of potential New York rail strike ?	11	3	1
b	Airline Mergers Pushed JetBlue 's Pilots to Join a Union	10	8	1
e	7 Roles That Taught Hugh Jackman About Life : From ' X-Men ' To The Oscars	16	13	4
e	Naomi Campbell wows in showstopping grey gown complete with racy cut-out ...	12	2	4
b	US judge to hold hearing in Argentina bondholder litigation	9	3	0
b	Zillow Taking Page From GrubHub Speeds Profit : Real M & A	12	11	2
b	Euro Near Three-Month Low as Volatility Surges Before ECB Meet	10	12	1
t	All The Big Things We Expect From Google This Week	10	10	0
m	The secret of the perfect selfie : Researchers reveal the facial features that are ...	15	2	4
t	Frogs in a Warming Climate Pot : Let 's Jump Out Now Before We 'Croak '	16	11	4
b	Some of the proposals for tackling student debt	8	1	0
e	Ginnifer Goodwin and Josh Dallas marry in intimate ceremony	9	4	0
e	Doing what he does best : Sir Mick Jagger puts on energetic performance in first ...	16	4	4
e	Judge orders Casey Kasem 's wife to allow doctors to evaluate her husband and ...	15	3	4
e	Jimmy Scott Dead : Legendary Jazzman With Ethereal Man-Child Voice Dies At 88	13	12	2
b	UK Inflation Rate Declines to 1.6 % , Lowest in 4 1/2 Years ( 3 )	16	7	6
b	CORRECTED-Shire , AbbVie to announce $ 53 billion merger by Friday -sources	12	13	4
e	Kim Kardashian Snaps Photos Of Jay Z , Anna Wintour At Met Gala	13	12	1
e	The Whitewashing of James Brown	5	4	0
e	BLOGS OF THE DAY : Katy Perry in 'song theft ' row	12	15	3
b	Shrinking cattle herd to shut down Cargill Wisconsin beef plant	10	3	0
b	Anglers Cheer EPA Water Rules Decried as Land Grab by Republican	11	11	0
b	UPDATE 1-Turkish assets fall as Twitter ban raises political tension	10	8	1
b	UPDATE 2-US tests enhanced Aegis system , fires SM-3 missile onshore	11	11	3
e	Scarlett Johansson On Woody Allen Sex Abuse Allegations : 'It 's All Guesswork '	14	11	4
b	China shares gain on urbanisation plans , Hong Kong falls to 5-week low	13	3	2
b	UPDATE 1-US extends Obamacare sign-up deadline in case of tech troubles	11	9	2
